Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
11.03.2023 09:30,Bayern Múnich,Augsburgo,5,3,2.85,2.59,61%,39%,24,13,9,6,15,7,,,11,9,8,5,2,1,17,19,3,4,8,10,,,2,1,583,304,513,228,,,145,72,69,30,2
11.03.2023 09:30,Eintracht Frankfurt,Stuttgart,1,1,0.87,0.81,50%,50%,10,9,1,5,9,4,,,14,19,3,2,3,3,29,19,4,0,16,11,,,4,1,488,447,381,358,,,139,103,55,30,0
11.03.2023 09:30,Hertha BSC,Mainz,1,1,1.43,0.37,44%,56%,9,6,4,3,5,3,,,14,12,7,8,2,3,33,33,2,3,10,15,,,2,1,235,367,134,275,,,113,99,35,30,0
11.03.2023 09:30,RB Leipzig,Borussia M'gladbach,3,0,2.47,1.39,64%,36%,14,7,9,3,5,4,,,8,11,11,0,3,1,15,8,3,6,9,9,,,1,0,690,349,614,269,,,139,69,61,25,3
10.03.2023 14:30,Colonia,Bochum,0,2,0.76,1.29,60%,40%,11,9,5,3,6,6,,,15,11,10,1,3,1,37,20,1,5,9,14,,,2,2,477,292,367,190,,,120,96,76,31,-2
05.03.2023 11:30,Wolfsburgo,Eintracht Frankfurt,2,2,1.74,1.06,53%,47%,13,10,8,2,5,8,,,16,7,4,5,0,1,16,25,0,6,11,16,,,3,3,467,434,388,343,,,105,117,35,52,0
05.03.2023 09:30,Bayer Leverkusen,Hertha BSC,4,1,2.38,0.97,59%,41%,18,7,9,2,9,5,,,14,13,9,2,4,1,17,18,1,5,11,14,,,1,2,644,388,567,299,,,66,59,30,28,3
04.03.2023 12:30,Stuttgart,Bayern Múnich,1,2,0.64,1.90,43%,57%,11,13,4,6,7,7,,,5,6,3,6,3,1,14,17,4,3,6,12,,,,,424,644,348,567,,,101,143,44,68,-1
04.03.2023 09:30,Augsburgo,Werder Bremen,2,1,0.81,2.16,45%,55%,9,17,5,8,4,9,,,12,12,3,7,3,3,14,18,7,3,10,9,,,2,2,320,557,250,462,,,101,160,26,69,1
04.03.2023 09:30,Bochum,Schalke,0,2,1.26,1.02,58%,42%,6,9,4,5,2,4,,,15,20,4,4,2,3,30,31,3,4,17,11,,,2,1,381,205,293,125,,,110,90,44,48,-2
04.03.2023 09:30,Borussia M'gladbach,Friburgo,0,0,1.20,0.45,52%,48%,10,8,4,3,6,5,,,18,12,6,5,1,2,19,17,3,4,11,15,1,0,5,2,471,420,319,340,,,97,91,33,44,0
04.03.2023 09:30,Mainz,Hoffenheim,1,0,1.16,0.99,49%,51%,16,15,6,4,10,11,,,16,13,11,3,4,1,26,23,4,5,12,15,,,1,4,350,410,259,312,,,123,94,81,40,1
04.03.2023 09:30,Unión Berlín,Colonia,0,0,0.65,0.91,52%,48%,8,11,2,4,6,7,,,11,10,5,4,1,2,30,14,4,2,9,10,,,1,0,502,491,407,393,,,103,88,70,37,0
03.03.2023 14:30,Borussia Dortmund,RB Leipzig,2,1,1.26,2.52,41%,59%,8,16,3,6,5,10,,,20,8,4,6,0,2,13,17,5,1,8,20,,,2,5,372,615,305,547,,,85,153,28,73,1
26.02.2023 11:30,Bayern Múnich,Unión Berlín,3,0,3.91,0.45,65%,35%,19,4,10,1,9,3,,,10,10,10,4,3,1,10,14,1,7,8,9,,,1,1,730,307,657,233,,,171,66,92,24,3
26.02.2023 09:30,Friburgo,Bayer Leverkusen,1,1,1.21,2.61,47%,53%,9,16,4,4,5,12,,,12,16,1,3,2,0,14,15,3,3,14,13,,,2,1,445,528,334,433,,,109,112,38,37,0
25.02.2023 12:30,Schalke,Stuttgart,2,1,1.29,0.95,39%,61%,11,17,6,5,5,12,,,13,12,6,9,3,1,20,19,4,4,12,13,,,2,2,254,514,168,427,,,89,116,33,62,1
25.02.2023 09:30,Colonia,Wolfsburgo,0,2,0.97,1.00,56%,44%,11,6,5,4,6,2,,,18,13,10,2,6,2,31,34,2,5,9,16,,,1,2,444,327,351,242,,,98,78,64,42,-2
25.02.2023 09:30,Hertha BSC,Augsburgo,2,0,0.90,0.79,49%,51%,11,9,3,2,8,7,,,21,21,1,6,5,1,22,35,2,1,16,19,,,1,3,272,349,190,262,,,90,122,30,43,2
25.02.2023 09:30,Hoffenheim,Borussia Dortmund,0,1,0.92,1.71,45%,55%,13,23,4,11,9,12,,,10,12,12,11,2,1,13,23,10,4,11,7,,,3,1,344,482,275,415,,,89,132,61,59,-1
25.02.2023 09:30,RB Leipzig,Eintracht Frankfurt,2,1,2.41,0.57,55%,45%,10,8,5,4,5,4,,,14,10,2,6,1,2,23,25,3,3,11,11,,,2,3,577,488,473,395,,,105,123,45,42,1
25.02.2023 09:30,Werder Bremen,Bochum,3,0,1.01,0.96,56%,44%,12,9,6,2,6,7,,,19,15,2,0,2,4,14,12,2,3,16,16,,,3,2,478,331,387,232,,,116,122,34,60,3
24.02.2023 14:30,Mainz,Borussia M'gladbach,4,0,1.45,0.93,39%,61%,14,8,8,2,6,6,,,9,19,3,3,2,3,18,27,2,4,17,6,,,2,3,322,600,235,510,,,118,122,43,29,4
19.02.2023 13:30,Bayer Leverkusen,Mainz,2,3,2.78,2.12,62%,38%,17,12,7,7,10,5,,,17,15,4,5,2,1,19,23,4,5,14,19,1,0,5,5,546,253,453,164,,,135,91,51,54,-1
19.02.2023 11:30,Borussia Dortmund,Hertha BSC,4,1,2.87,1.28,59%,41%,12,15,5,8,7,7,,,14,8,3,4,0,2,24,21,7,1,8,15,,,1,2,550,385,440,285,,,118,109,37,40,3
19.02.2023 09:30,Unión Berlín,Schalke,0,0,0.95,0.30,53%,47%,9,6,4,2,5,4,,,15,10,6,4,0,0,24,22,2,4,13,19,,,2,1,418,326,314,228,,,134,91,59,42,0
