Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
09.07.2023 16:30,Fortaleza,Athletico-PR,1,0,1.51,1.10,52%,48%,19,10,6,2,10,6,3,2,18,14,7,2,6,0,24,17,2,5,10,18,,,3,3,431,381,353,324,,,104,102,66,27,1
09.07.2023 16:30,Gremio,Botafogo,0,2,1.98,1.17,48%,52%,22,15,4,6,15,6,3,3,15,8,10,2,1,1,31,10,4,4,7,13,,,2,5,521,448,427,381,,,130,114,66,33,-2
09.07.2023 14:00,Bragantino,Sao Paulo,0,0,1.55,0.46,53%,47%,23,4,4,1,12,3,7,0,9,16,6,4,0,0,22,25,1,4,15,9,,,2,2,427,327,337,229,,,126,72,68,28,0
09.07.2023 14:00,Fluminense,Internacional,2,0,1.06,0.44,55%,45%,13,9,6,0,2,5,5,4,17,20,7,4,3,0,19,21,0,4,18,16,,,2,3,520,404,442,327,,,119,79,49,49,2
09.07.2023 09:00,Santos,Goiás,4,3,2.40,2.11,38%,62%,14,11,7,4,4,4,3,3,22,17,8,13,1,4,16,20,1,3,16,18,1,1,6,2,301,574,214,499,,,65,127,42,58,1
08.07.2023 19:00,Palmeiras,Flamengo,1,1,1.01,0.94,42%,58%,13,10,3,4,7,5,3,1,18,18,4,7,5,3,21,20,3,2,13,16,,,2,3,407,541,338,471,,,89,125,42,55,0
08.07.2023 16:30,Atlético-MG,Corinthians,0,1,1.54,0.75,55%,45%,25,8,6,2,8,2,11,4,7,15,10,2,0,0,18,16,1,6,15,7,,,3,2,565,398,475,322,,,144,98,59,28,-1
08.07.2023 16:30,Coritiba,América-MG,3,1,1.58,0.93,44%,56%,13,16,7,3,3,9,3,4,21,17,7,8,2,0,26,29,2,4,16,19,,,5,3,312,435,222,348,19,13,81,135,29,57,2
08.07.2023 14:00,Cuiabá,Bahia,1,1,1.47,0.32,43%,57%,8,6,6,3,2,3,0,0,12,22,5,5,9,0,18,17,2,5,12,11,,,2,3,370,500,296,425,,,105,109,37,41,0
08.07.2023 14:00,Vasco,Cruzeiro,0,1,1.24,0.48,54%,46%,9,7,1,5,6,2,2,0,16,7,4,6,3,1,30,23,4,1,7,18,,,2,3,489,360,401,274,,,118,99,63,33,-1
